pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2022000558,1,1,4,0,,,,,65,0,143,,12,2022,3,45,4,1,7,3,2,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,3,32,324,99,99,1,202423,709642
2022000561,1,1,2,7700,,,9999,,,,,,14,2022,4,93,4,5,6,2,11,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,2,23,234,0,15,2,228613,724734
2022000564,1,1,2,8700,144,,92,,,,,,51,2022,9,91,4,5,7,3,8,1,0,1,1,1,3,3,1,1,1,9,9,0,0,9,4,42,421,0,15,1,189171,677371
2022000568,1,1,1,4000,360,362,,10740223,,,,,11,2022,1,49,4,1,2,3,2,0,1,2,1,2,1,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,199586,747375
2022000578,1,1,2,7900,1225,,36,,,,,,51,2022,8,50,4,1,2,3,5,3,0,1,1,2,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,1,188239,664994
2022000584,1,1,2,5000,2658,,23,,,,,,20,2022,4,40,4,1,7,3,2,1,0,1,3,2,2,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179890,662403
2022000586,1,1,1,2600,168,177,,70005,,,,,33,2022,9,72,4,1,4,3,1,0,3,1,1,1,3,1,1,1,9,9,9,3,3,2,6,62,625,0,15,1,193713,385583
2022000602,1,1,3,0,,,,,4,57,1466,345,51,2022,7,51,4,1,2,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,4,41,411,99,99,1,191190,692220
2022000609,1,1,4,0,,,,,75,0,228,,14,2022,6,33,4,1,3,3,2,0,1,4,1,3,3,1,3,1,3,1,9,0,0,9,2,23,237,99,99,1,224045,733034
2022000617,1,1,3,0,,,,,25,241,1987,513,34,2022,9,45,2,1,1,2,1,3,0,5,1,3,3,1,1,1,9,9,9,3,4,1,6,62,622,99,99,1,167059,582998
2022000627,1,1,1,7400,169,418,,7970012,,,,,51,2022,12,25,4,5,5,3,1,0,3,1,1,1,3,6,1,1,9,9,9,3,4,1,4,41,411,0,13,1,187283,692584
2022000628,1,1,2,6600,107,,27,,,,,,20,2022,10,49,3,1,4,2,1,3,0,1,1,2,3,1,1,1,9,9,7,0,0,9,5,51,513,0,14,1,181412,657672
2022000635,1,1,1,7900,957,986,,10880024,,,,,51,2022,11,30,4,1,4,3,1,3,0,1,1,1,3,1,1,1,9,9,9,3,3,1,4,42,422,0,13,1,187323,666377
2022000645,1,1,1,5000,2686,2535,,12690913,,,,,20,2022,4,34,4,1,7,3,2,3,0,1,0,2,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,181180,663516
2022000649,1,1,3,0,,,,,781,0,72,3455,12,2022,3,36,4,1,1,3,2,0,3,3,1,2,3,1,2,2,9,9,9,0,0,9,3,31,311,99,99,1,211766,747434
2022000654,1,1,2,439,,,9999,,,,,,14,2022,9,57,4,1,5,2,2,3,0,1,1,2,3,1,1,1,9,9,9,0,0,9,2,23,231,7,33,2,245403,708614
