OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,2,1551,בית צפפה,מגורים,0,228443,מגורים,0,1,0,0,2,2,1,1,0,2,2,0,0,0,1,1,8.754902174657111,202407,2632.823276986832752,228443.443467525736196
-1,0,2496,אשקלון,מגורים,1800,278833,מגורים,7100,1,,,,,,,,,,,,,,,0.000000000000000,202407,2281.276924816125756,278832.756092417635955
-1,16,758,אשדוד,ציבורי+מגורים,6766,1237159,מגורים,70,1,2,5,15,11,1,14,6,22,24,0,1,0,17,18,12.932851385189441,202407,4778.039456909975343,1237159.503612871048972
-1,0,2114,מגאר,מגורים,5536,1482348,מגורים,481,1,,,,,,,,,,,,,,,0.000000000000000,202407,7264.662023584104645,1482347.589869694551453
-1,2,1384,בית שמש,מגורים,2337,246555,מגורים,2610,1,0,0,2,1,1,0,1,2,3,0,0,0,3,3,8.111791372317615,202407,3122.231349391228832,246554.664463538996642
-1,15,351,הוד השרון,מגורים,7218,515294,מגורים,9700,1,2,2,15,9,5,7,7,19,23,0,0,2,14,18,29.109567184247783,202407,3942.062963307397695,515294.504554400627967
-1,3,2026,טנטור,שטח פתוח,0,1619106,פנאי/טבע/ספורט,0,3,0,0,7,0,2,5,0,7,6,0,0,0,4,5,1.852874265420338,202407,5594.641393145873735,1619106.086143102962524
-1,54,977,כפר סבא,מגורים,2748,499011,מגורים,6900,1,0,7,106,3,23,78,12,113,110,5,2,0,67,84,108.214032706701943,202407,3091.521571780591330,499011.067689889867324
-1,0,1644,לוזה,לא ידוע,0,4889875,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202407,11026.617498890514980,4889874.590056499466300
-1,0,2349,חיפה,תעשיה,0,233199,תעשיה/מסחר/מתקנים,4000,4,,,,,,,,,,,,,,,0.000000000000000,202407,2333.926114238018727,233199.108464848890435
-1,3,595,גן שלמה,מגורים,572,1195236,מגורים,0,1,0,2,1,0,0,2,1,3,5,0,0,0,2,2,2.509964687308728,202407,4849.018404601684779,1195235.939042913261801
-1,15,1237,ירושלים,פנאי ונופש,0,322016,פנאי/טבע/ספורט,3000,3,0,1,33,0,1,29,4,34,28,2,2,0,13,17,46.581559666948394,202407,3543.726184686741362,322015.838611843239050
-1,9,188,רמת גן,מתחם ציבורי,0,436641,מוסדי/ציבורי,8600,2,0,1,9,1,0,9,1,10,17,1,0,1,4,11,20.611909444034676,202407,3340.774951048599178,436640.769475372566376
-1,7,1879,רכסים,מגורים,6055,2233414,מגורים,922,1,1,1,6,2,2,6,0,8,8,1,0,0,4,6,3.134215314407876,202407,7625.848784580914980,2233413.884432651568204
-1,3,830,אומץ גן יאשיה,מגורים,1822,8250577,מגורים,0,1,1,1,2,0,0,4,0,4,5,2,0,0,1,5,0.363610912248817,202407,13423.177805065979555,8250577.468772770836949
-1,4,2186,בית שאן,מגורים,6429,1444593,מגורים,9200,1,0,0,5,1,2,2,1,5,7,0,0,0,2,2,2.768945396928768,202407,4951.108168077114897,1444593.311387317720801
-1,1,1456,ביתר עילית,מגורים,12637,377401,מגורים,0,1,0,0,3,0,2,1,0,3,2,0,0,0,1,2,2.649700094818885,202407,3171.659519590054060,377401.201726700644940
-1,0,423,פתח תקווה,מגורים,3590,277913,מגורים,7900,1,,,,,,,,,,,,,,,0.000000000000000,202407,2322.465326207805902,277912.924047550302930
-1,27,1074,ירושלים,מגורים,3850,430723,מגורים,3000,1,0,4,46,1,11,35,4,50,51,2,0,0,21,27,62.685359160027240,202407,4510.367269635890807,430722.585972151078749
-1,17,25,תל אביב -יפו,שטח פתוח,0,1412498,פנאי/טבע/ספורט,5000,3,0,4,18,3,1,20,1,22,32,7,0,0,11,20,12.035413789545034,202407,7642.701487125805215,1412498.173911363119259
-1,9,1716,חיפה,מגורים,3784,557290,מגורים,4000,1,1,0,9,5,2,4,4,10,18,2,0,0,15,18,16.149570290465356,202407,2984.490968558258373,557290.369844302535057
-1,71,667,נתניה,מגורים,4905,262997,מגורים,7400,1,0,13,73,42,9,50,24,86,104,6,2,6,48,85,269.964680824814536,202407,2005.398654248578850,262997.366111285169609
-1,36,2295,חיפה,מגורים+ בית חולים,1745,348019,מגורים,4000,1,1,18,53,7,9,54,9,72,77,5,3,0,48,62,103.442565750608821,202407,2525.549116751855763,348019.209875293716323
-1,7,1309,מטע,מגורים,899,5188166,מגורים,0,1,1,5,11,0,2,14,1,17,14,0,1,0,13,14,1.349224238456907,202407,11267.642101111277952,5188166.503742791712284
-1,8,260,גבעתיים,מגורים,4558,305390,מגורים,6300,1,0,0,9,4,3,2,4,9,12,3,0,0,6,10,26.196007751200117,202407,2276.713068991708042,305390.045535984274466
-1,53,1951,שפרעם,מגורים,7101,4400075,מגורים,8800,1,2,8,169,2,50,123,6,179,123,4,8,0,66,87,12.045249754213481,202407,13559.517636145090364,4400074.808034624904394
-1,5,902,כפר קאסם,מגורים,1859,501384,מגורים,634,1,0,1,8,0,1,6,2,9,9,0,1,0,6,7,9.972405377103136,202407,3662.052367035132647,501383.548996123892721
-1,8,1553,אבו גוש ידידה קריית יערים (מוסד),מגורים+מוסדי,7933,2205753,מגורים,0,1,0,0,12,1,2,9,1,12,15,2,0,0,10,12,3.626878876778818,202407,8522.345111323813398,2205753.285895539447665
